x,y,height,land,mountains,plains,hills,slope,boundMin,boundMax,repeatHeight
-131072,-131072,-1756.5247,0,0,0.5358176,0.46418238,3.8146973E-06,-1777.8568,-1735.3323,-1756.5247
-126976,-131072,-1749.551,0,0,0.8588213,0.14117873,0.0033645977,-1770.8364,-1728.405,-1749.551
-122880,-131072,-1729.3114,0,0,1,0,0.0064697275,-1750.4613,-1708.3011,-1729.3114
-118784,-131072,-1696.9398,0,0,1,0,0.009281159,-1717.871,-1676.1483,-1696.9398
-114688,-131072,-1653.6885,0,0,1,0,0.011779785,-1674.3237,-1633.1931,-1653.6885
-110592,-131072,-1600.8944,0,0,1,0,0.0139541635,-1621.1624,-1580.7662,-1600.8944
-106496,-131072,-1539.9473,0,0,0.99799985,0.002000153,0.01576233,-1559.7826,-1520.2517,-1539.9473
-102400,-131072,-1472.261,0,0,0.39003038,0.6099696,0.017230988,-1491.6042,-1453.0573,-1472.261
-98304,-131072,-1399.2461,0,0,0.010889769,0.98911023,0.018363953,-1418.0441,-1380.588,-1399.2461
-94208,-131072,-1322.2878,0,0,0.06299722,0.9370028,0.01915741,-1340.4928,-1304.2227,-1322.2878
-90112,-131072,-1242.7223,0,0,0.28391337,0.7160866,0.019638062,-1260.2926,-1225.2915,-1242.7223
-86016,-131072,-1161.8187,0,0,0.5582777,0.44172227,0.019813538,-1178.719,-1145.0582,-1161.8187
-81920,-131072,-1080.7635,0,0,0.67359203,0.32640797,0.019721985,-1096.9637,-1064.7029,-1080.7635
-77824,-131072,-1000.64484,0,0,0.27362394,0.72637606,0.01936531,-1016.1214,-984.9578,-1000.64484
-73728,-131072,-838.65906,0.050731134,0,0,1,0.06333351,-887.0805,-781.15454,-838.65906
-69632,-131072,-513.1881,0.21239193,0,0,1,0.081316,-598.1175,-419.0212,-513.1881
-65536,-131072,-164.0922,0.4388408,0,0,1,0.09162003,-270.5164,-49.996277,-164.0922
-61440,-131072,67.68629,0.67816,0,0,1,0.047491875,-45.155426,185.84099,67.68629
-57344,-131072,16.039227,0.87803,0,0.99956644,0.0004335642,0.029915392,-15.584976,71.353264,16.039227
-53248,-131072,104.27263,0.98966247,0,1,0,0.010551932,91.230064,114.27165,104.27263
-49152,-131072,115.35785,1,0,1,0,7.3136625E-06,110.726036,119.98967,115.35785
-45056,-131072,120.70063,1,0,1,0,0.0019567013,116.06882,125.33244,120.70063
-40960,-131072,129.1254,1,0.0012968756,0.9987031,0,0.0061402335,119.63233,170.8592,129.1254
-36864,-131072,289.17383,1,0.07548443,0.92451555,0,0.06394865,121.33872,715.55865,289.17383
-32768,-131072,427.6203,1,0.17606999,0.82393,0,0.00033100057,139.65211,1073.8948,427.6203
-28672,-131072,605.40137,1,0.18332027,0.8166145,6.520748E-05,0.02419663,216.2066,1277.7048,605.40137
-24576,-131072,586.1571,1,0.20330828,0.36589676,0.43079495,0.14509012,103.96086,1581.0269,586.1571
-20480,-131072,868.52136,1,0.23371531,0,0.7662847,0.010468094,410.8369,1673.049,868.52136
-16384,-131072,896.4893,1,0.27160615,0,0.72839385,0.006201207,386.81613,1783.7606,896.4893
-12288,-131072,1154.769,1,0.312601,0,0.687399,0.09314017,444.92795,2204.1768,1154.769
-8192,-131072,1305.2484,1,0.3507285,0,0.6492715,0.01952056,561.401,2271.1875,1305.2484
-4096,-131072,1114.9655,1,0.37891996,0,0.62108004,0.17901626,389.47415,2215.2249,1114.9655
0,-131072,636.90027,1,0.38985875,0,0.6101413,0.00062669103,233.69981,1467.2269,636.90027
4096,-131072,547.96533,1,0.107192785,0,0.89280725,0.044057958,279.95645,1083.8497,547.96533
8192,-131072,455.9565,1,1.728476E-09,0,1,0.0002921483,362.21332,549.97754,455.9565
12288,-131072,593.20605,1,0,0,1,0.012742324,499.51312,686.89905,593.20605
16384,-131072,697.7542,1,0,0,1,0.00032290572,581.9559,748.82184,697.7542
20480,-131072,615.62537,1,0,0,1,0.014194637,423.5784,734.61786,615.62537
24576,-131072,599.50134,1,0,0.21662289,0.7833771,0.07040788,213.7644,913.4551,599.50134
28672,-131072,294.7836,1,0,0.69043076,0.30956924,0.030389544,60.046146,689.6373,294.7836
32768,-131072,252.91924,1,0,0.85091007,0.14908993,0.00015260652,73.898186,652.401,252.91924
36864,-131072,285.53333,1,0,0.6492375,0.3507625,0.022906354,56.343494,655.2903,285.53333
40960,-131072,410.25592,1,0,0.09550923,0.90449077,0.034598365,166.29555,599.2973,410.25592
45056,-131072,621.87964,1,0,0,1,0.0037396196,515.67676,671.0736,621.87964
49152,-131072,393.55408,1,0,0,1,0.00018573404,309.43475,487.24704,393.55408
53248,-131072,554.92163,1,0,0.02299869,0.9770013,0.014687092,291.12424,709.0435,554.92163
57344,-131072,133.75449,0.9941344,0,0.998539,0.001461029,0.012983322,110.276375,210.69997,133.75449
61440,-131072,89.79402,0.9092147,0.013620809,0.9863792,0,0.0061898245,25.919683,258.6487,89.79402
